Selection,View,Channel,Begin File_x,Begin Time (s),End Time (s),Low Freq (Hz)_x,High Freq (Hz)_x,Species Code,Common Name,Confidence,birdnetfile,site,bins,realID,reviewer_1,reviewer_2,ID,sample_id,Low Freq (Hz)_y,High Freq (Hz)_y,File Offset (s),Delta Time (s),Annotation,label
2991,Spectrogram 1,1,20230523_200000.WAV,12615,12618,0,15000,t-11113588,American Bullfrog,0.8507,20230523_200000.BirdNET.selection.table.txt,BD-30175A,5,20230523_200000.WAV1261512618BD-30175A,Diana,Amy,136,t-11113588_136,,,,,,0
1935,Spectrogram 1,1,20230527_000000.WAV,17643,17646,0,15000,t-11113588,American Bullfrog,0.1089,20230527_000000.BirdNET.selection.table.txt,BD-30175B,1,20230527_000000.WAV1764317646BD-30175B,Ethan,Amy,137,t-11113588_137,,,,,,0
3678,Spectrogram 1,1,20230523_000000.WAV,16263,16266,0,15000,t-11113588,American Bullfrog,0.1141,20230523_000000.BirdNET.selection.table.txt,BD-30175B,1,20230523_000000.WAV1626316266BD-30175B,Amy,Ethan,138,t-11113588_138,,,,,,0
3376,Spectrogram 1,1,20230523_000000.WAV,14496,14499,0,15000,t-11113588,American Bullfrog,0.1928,20230523_000000.BirdNET.selection.table.txt,BD-30175B,1,20230523_000000.WAV1449614499BD-30175B,Ann,Amy,139,t-11113588_139,,,,,,0
4247,Spectrogram 1,1,20230522_200000.WAV,10737,10740,0,15000,t-11113588,American Bullfrog,0.1278,20230522_200000.BirdNET.selection.table.txt,BD-29638A,1,20230522_200000.WAV1073710740BD-29638A,Rohit,Ann,14,t-11113588_14,,,,,,0
2694,Spectrogram 1,1,20230523_000000.WAV,12003,12006,0,15000,t-11113588,American Bullfrog,0.1272,20230523_000000.BirdNET.selection.table.txt,BD-30175B,1,20230523_000000.WAV1200312006BD-30175B,Rohit,Ann,140,t-11113588_140,,,,,,0
2031,Spectrogram 1,1,20230524_200000.WAV,13545,13548,0,15000,t-11113588,American Bullfrog,0.3322,20230524_200000.BirdNET.selection.table.txt,BD-30175B,2,20230524_200000.WAV1354513548BD-30175B,Camille,Rohit,141,t-11113588_141,,,,,,0
3478,Spectrogram 1,1,20230526_200000.WAV,12900,12903,0,15000,t-11113588,American Bullfrog,0.1509,20230526_200000.BirdNET.selection.table.txt,BD-31209A,1,20230526_200000.WAV1290012903BD-31209A,Diana,Ann,142,t-11113588_142,,,,,,0
1698,Spectrogram 1,1,20230521_000000.WAV,8844,8847,0,15000,t-11113588,American Bullfrog,0.1958,20230521_000000.BirdNET.selection.table.txt,BD-31209B,1,20230521_000000.WAV88448847BD-31209B,Ethan,Rohit,143,t-11113588_143,21.6,1834.5,0.0342,2.9277,BULLFROG,1
1484,Spectrogram 1,1,20230521_000000.WAV,7839,7842,0,15000,t-11113588,American Bullfrog,0.1081,20230521_000000.BirdNET.selection.table.txt,BD-31209B,1,20230521_000000.WAV78397842BD-31209B,Amy,Ethan,144,t-11113588_144,0,1611.1,0.0333,2.9482,BULLFROG,1
4218,Spectrogram 1,1,20230521_000000.WAV,18390,18393,0,15000,t-11113588,American Bullfrog,0.1441,20230521_000000.BirdNET.selection.table.txt,BD-31209B,1,20230521_000000.WAV1839018393BD-31209B,Ann,Amy,145,t-11113588_145,0,2101.9,0.03,2.9059,BULLFROG,1
3594,Spectrogram 1,1,20230521_000000.WAV,16071,16074,0,15000,t-11113588,American Bullfrog,0.1173,20230521_000000.BirdNET.selection.table.txt,BD-31209B,1,20230521_000000.WAV1607116074BD-31209B,Rohit,Ann,146,t-11113588_146,0,2525.9,0.0203,2.941,BULLFROG,1
5060,Spectrogram 1,1,20230523_000000.WAV,15573,15576,0,15000,t-11113588,American Bullfrog,0.1905,20230523_000000.BirdNET.selection.table.txt,BD-31209B,1,20230523_000000.WAV1557315576BD-31209B,Camille,Rohit,147,t-11113588_147,124,2449.6,0.0372,2.9386,BULLFROG,1
1908,Spectrogram 1,1,20230522_000000.WAV,14574,14577,0,15000,t-11113588,American Bullfrog,0.1018,20230522_000000.BirdNET.selection.table.txt,BD-31209B,1,20230522_000000.WAV1457414577BD-31209B,Diana,Amy,148,t-11113588_148,0,2160.2,0.0377,2.9337,BULLFROG,1
2251,Spectrogram 1,1,20230524_000000.WAV,8958,8961,0,15000,t-11113588,American Bullfrog,0.1116,20230524_000000.BirdNET.selection.table.txt,BD-31209B,1,20230524_000000.WAV89588961BD-31209B,Ethan,Diana,149,t-11113588_149,0,1791.4,0.053,2.9391,BULLFROG,1
2976,Spectrogram 1,1,20230526_200000.WAV,11262,11265,0,15000,t-11113588,American Bullfrog,0.1826,20230526_200000.BirdNET.selection.table.txt,BD-29638A,1,20230526_200000.WAV1126211265BD-29638A,Camille,Ethan,15,t-11113588_15,,,,,,0
2181,Spectrogram 1,1,20230524_000000.WAV,8739,8742,0,15000,t-11113588,American Bullfrog,0.1149,20230524_000000.BirdNET.selection.table.txt,BD-31209B,1,20230524_000000.WAV87398742BD-31209B,Amy,Rohit,150,t-11113588_150,0,3222.9,0.0437,2.9271,BULLFROG,1
3283,Spectrogram 1,1,20230521_000000.WAV,15129,15132,0,15000,t-11113588,American Bullfrog,0.1548,20230521_000000.BirdNET.selection.table.txt,BD-31209B,1,20230521_000000.WAV1512915132BD-31209B,Ann,Camille,151,t-11113588_151,93,2573.6,0.0113,2.958,BULLFROG,1
3064,Spectrogram 1,1,20230522_000000.WAV,19077,19080,0,15000,t-11113588,American Bullfrog,0.1219,20230522_000000.BirdNET.selection.table.txt,BD-31209B,1,20230522_000000.WAV1907719080BD-31209B,Rohit,Diana,152,t-11113588_152,0,2366.6,0.039,2.9339,BULLFROG,1
2372,Spectrogram 1,1,20230527_000000.WAV,9087,9090,0,15000,t-11113588,American Bullfrog,0.1195,20230527_000000.BirdNET.selection.table.txt,BD-31209B,1,20230527_000000.WAV90879090BD-31209B,Camille,Ann,153,t-11113588_153,465.1,2666.7,0.0462,2.9191,BULLFROG,1
2711,Spectrogram 1,1,20230522_000000.WAV,17724,17727,0,15000,t-11113588,American Bullfrog,0.1982,20230522_000000.BirdNET.selection.table.txt,BD-31209B,1,20230522_000000.WAV1772417727BD-31209B,Diana,Ann,154,t-11113588_154,27.6,2137.9,0.1181,2.7813,BULLFROG,1
1381,Spectrogram 1,1,20230523_000000.WAV,4428,4431,0,15000,t-11113588,American Bullfrog,0.1347,20230523_000000.BirdNET.selection.table.txt,BD-31209B,1,20230523_000000.WAV44284431BD-31209B,Ethan,Amy,155,t-11113588_155,21.6,1769.8,0.0365,2.9505,BULLFROG,1
800,Spectrogram 1,1,20230523_000000.WAV,2691,2694,0,15000,t-11113588,American Bullfrog,0.1091,20230523_000000.BirdNET.selection.table.txt,BD-31209B,1,20230523_000000.WAV26912694BD-31209B,Amy,Ethan,156,t-11113588_156,0,1648.1,0.0196,2.9482,BULLFROG,1
3130,Spectrogram 1,1,20230520_000000.WAV,22395,22398,0,15000,t-11113588,American Bullfrog,0.1314,20230520_000000.BirdNET.selection.table.txt,BD-31209B,1,20230520_000000.WAV2239522398BD-31209B,Ann,Diana,157,t-11113588_157,39.7,675.5,0.086,2.8756,BULLFROG,1
2732,Spectrogram 1,1,20230521_000000.WAV,13596,13599,0,15000,t-11113588,American Bullfrog,0.1046,20230521_000000.BirdNET.selection.table.txt,BD-31209B,1,20230521_000000.WAV1359613599BD-31209B,Rohit,Camille,158,t-11113588_158,155,2511.6,0.0135,2.955,BULLFROG,1
3671,Spectrogram 1,1,20230521_000000.WAV,16464,16467,0,15000,t-11113588,American Bullfrog,0.1019,20230521_000000.BirdNET.selection.table.txt,BD-31209B,1,20230521_000000.WAV1646416467BD-31209B,Camille,Amy,159,t-11113588_159,0,2140.8,0.0526,2.8967,BULLFROG,1
1375,Spectrogram 1,1,20230520_200000.WAV,13029,13032,0,15000,t-11113588,American Bullfrog,0.3813,20230520_200000.BirdNET.selection.table.txt,BD-29638A,2,20230520_200000.WAV1302913032BD-29638A,Diana,Ann,16,t-11113588_16,,,,,,0
6312,Spectrogram 1,1,20230525_000000.WAV,19962,19965,0,15000,t-11113588,American Bullfrog,0.1538,20230525_000000.BirdNET.selection.table.txt,BD-31209B,1,20230525_000000.WAV1996219965BD-31209B,Diana,Amy,160,t-11113588_160,9.2,2189.7,0.0962,2.7551,BULLFROG,1
4960,Spectrogram 1,1,20230523_000000.WAV,15189,15192,0,15000,t-11113588,American Bullfrog,0.155,20230523_000000.BirdNET.selection.table.txt,BD-31209B,1,20230523_000000.WAV1518915192BD-31209B,Ethan,Camille,161,t-11113588_161,62,2573.6,0.0294,2.9452,BULLFROG,1
1691,Spectrogram 1,1,20230522_000000.WAV,13680,13683,0,15000,t-11113588,American Bullfrog,0.1588,20230522_000000.BirdNET.selection.table.txt,BD-31209B,1,20230522_000000.WAV1368013683BD-31209B,Amy,Camille,162,t-11113588_162,124,2387.6,0.0269,2.9452,BULLFROG,1
843,Spectrogram 1,1,20230522_000000.WAV,9870,9873,0,15000,t-11113588,American Bullfrog,0.1303,20230522_000000.BirdNET.selection.table.txt,BD-31209B,1,20230522_000000.WAV98709873BD-31209B,Ann,Rohit,163,t-11113588_163,19.9,1887.4,0.0603,2.885,BULLFROG,1
3556,Spectrogram 1,1,20230521_000000.WAV,15915,15918,0,15000,t-11113588,American Bullfrog,0.1298,20230521_000000.BirdNET.selection.table.txt,BD-31209B,1,20230521_000000.WAV1591515918BD-31209B,Rohit,Ethan,164,t-11113588_164,0,2308.9,0.0267,2.9401,BULLFROG,1
5192,Spectrogram 1,1,20230523_000000.WAV,15870,15873,0,15000,t-11113588,American Bullfrog,0.139,20230523_000000.BirdNET.selection.table.txt,BD-31209B,1,20230523_000000.WAV1587015873BD-31209B,Camille,Rohit,165,t-11113588_165,124,2697.7,0.0201,2.9386,BULLFROG,1
2466,Spectrogram 1,1,20230522_000000.WAV,16827,16830,0,15000,t-11113588,American Bullfrog,0.1955,20230522_000000.BirdNET.selection.table.txt,BD-31209B,1,20230522_000000.WAV1682716830BD-31209B,Diana,Ann,166,t-11113588_166,79.2,2019.8,0.0816,2.8357,BULLFROG,1
2549,Spectrogram 1,1,20230522_000000.WAV,17127,17130,0,15000,t-11113588,American Bullfrog,0.1434,20230522_000000.BirdNET.selection.table.txt,BD-31209B,1,20230522_000000.WAV1712717130BD-31209B,Ethan,Rohit,167,t-11113588_167,0,2574.5,0.044,2.8951,BULLFROG,1
7767,Spectrogram 1,1,20230523_000000.WAV,23466,23469,0,15000,t-11113588,American Bullfrog,0.1494,20230523_000000.BirdNET.selection.table.txt,BD-31209B,1,20230523_000000.WAV2346623469BD-31209B,Amy,Diana,168,t-11113588_168,0,3147.4,0.0385,2.9183,BULLFROG,1
1496,Spectrogram 1,1,20230522_000000.WAV,12675,12678,0,15000,t-11113588,American Bullfrog,0.1568,20230522_000000.BirdNET.selection.table.txt,BD-31209B,1,20230522_000000.WAV1267512678BD-31209B,Ann,Amy,169,t-11113588_169,0,2101.9,0.0403,2.9337,BULLFROG,1
1141,Spectrogram 1,1,20230520_200000.WAV,6654,6657,0,15000,t-11113588,American Bullfrog,0.1014,20230520_200000.BirdNET.selection.table.txt,BD-30103B,1,20230520_200000.WAV66546657BD-30103B,Ethan,Ann,17,t-11113588_17,,,,,,0
5171,Spectrogram 1,1,20230521_000000.WAV,22035,22038,0,15000,t-11113588,American Bullfrog,0.1788,20230521_000000.BirdNET.selection.table.txt,BD-31209B,1,20230521_000000.WAV2203522038BD-31209B,Rohit,Ann,170,t-11113588_170,0,2135.8,0.0467,2.8861,BULLFROG,1
573,Spectrogram 1,1,20230522_000000.WAV,8379,8382,0,15000,t-11113588,American Bullfrog,0.1541,20230522_000000.BirdNET.selection.table.txt,BD-31209B,1,20230522_000000.WAV83798382BD-31209B,Camille,Ann,171,t-11113588_171,217.1,2170.5,0.1855,2.7627,BULLFROG,1
1032,Spectrogram 1,1,20230522_000000.WAV,10806,10809,0,15000,t-11113588,American Bullfrog,0.1297,20230522_000000.BirdNET.selection.table.txt,BD-31209B,1,20230522_000000.WAV1080610809BD-31209B,Diana,Ann,172,t-11113588_172,27.6,2258.6,0.0875,2.8076,BULLFROG,1
4014,Spectrogram 1,1,20230521_000000.WAV,17763,17766,0,15000,t-11113588,American Bullfrog,0.1086,20230521_000000.BirdNET.selection.table.txt,BD-31209B,1,20230521_000000.WAV1776317766BD-31209B,Ethan,Amy,173,t-11113588_173,0,841.7,0.0513,2.9049,BULLFROG,1
3685,Spectrogram 1,1,20230521_000000.WAV,16563,16566,0,15000,t-11113588,American Bullfrog,0.1838,20230521_000000.BirdNET.selection.table.txt,BD-31209B,1,20230521_000000.WAV1656316566BD-31209B,Amy,Camille,174,t-11113588_174,124,2263.6,0.0438,2.9403,BULLFROG,1
3681,Spectrogram 1,1,20230521_000000.WAV,16545,16548,0,15000,t-11113588,American Bullfrog,0.1284,20230521_000000.BirdNET.selection.table.txt,BD-31209B,1,20230521_000000.WAV1654516548BD-31209B,Ann,Rohit,175,t-11113588_175,0,1688.7,0.0565,2.9038,BULLFROG,1
2245,Spectrogram 1,1,20230522_000000.WAV,15921,15924,0,15000,t-11113588,American Bullfrog,0.1554,20230522_000000.BirdNET.selection.table.txt,BD-31209B,1,20230522_000000.WAV1592115924BD-31209B,Rohit,Camille,176,t-11113588_176,248.1,2232.6,1.5526,1.0571,BULLFROG,1
1796,Spectrogram 1,1,20230521_000000.WAV,9525,9528,0,15000,t-11113588,American Bullfrog,0.1049,20230521_000000.BirdNET.selection.table.txt,BD-31209B,1,20230521_000000.WAV95259528BD-31209B,Camille,Rohit,177,t-11113588_177,0,2416.9,0.3467,2.2118,BULLFROG,1
1552,Spectrogram 1,1,20230521_000000.WAV,8112,8115,0,15000,t-11113588,American Bullfrog,0.1807,20230521_000000.BirdNET.selection.table.txt,BD-31209B,1,20230521_000000.WAV81128115BD-31209B,Diana,Ann,178,t-11113588_178,99,1445.5,0.1101,2.7886,BULLFROG,1
2293,Spectrogram 1,1,20230522_000000.WAV,16158,16161,0,15000,t-11113588,American Bullfrog,0.1654,20230522_000000.BirdNET.selection.table.txt,BD-31209B,1,20230522_000000.WAV1615816161BD-31209B,Ethan,Rohit,179,t-11113588_179,0,1521.1,0.048,2.9163,BULLFROG,1
1185,Spectrogram 1,1,20230520_200000.WAV,6816,6819,0,15000,t-11113588,American Bullfrog,0.1478,20230520_200000.BirdNET.selection.table.txt,BD-30103B,1,20230520_200000.WAV68166819BD-30103B,Amy,Ethan,18,t-11113588_18,,,,,,0
4279,Spectrogram 1,1,20230527_000000.WAV,16134,16137,0,15000,t-11113588,American Bullfrog,0.1347,20230527_000000.BirdNET.selection.table.txt,BD-31209B,1,20230527_000000.WAV1613416137BD-31209B,Amy,Ann,180,t-11113588_180,0,2845.2,0.0316,2.9271,BULLFROG,1
3105,Spectrogram 1,1,20230522_000000.WAV,19281,19284,0,15000,t-11113588,American Bullfrog,0.1015,20230522_000000.BirdNET.selection.table.txt,BD-31209B,1,20230522_000000.WAV1928119284BD-31209B,Ann,Amy,181,t-11113588_181,39.7,1688.7,0.0547,2.9133,BULLFROG,1
4706,Spectrogram 1,1,20230523_000000.WAV,14475,14478,0,15000,t-11113588,American Bullfrog,0.1725,20230523_000000.BirdNET.selection.table.txt,BD-31209B,1,20230523_000000.WAV1447514478BD-31209B,Rohit,Camille,182,t-11113588_182,0,3059.3,0.0432,2.8771,BULLFROG,1
4051,Spectrogram 1,1,20230521_000000.WAV,17877,17880,0,15000,t-11113588,American Bullfrog,0.1946,20230521_000000.BirdNET.selection.table.txt,BD-31209B,1,20230521_000000.WAV1787717880BD-31209B,Camille,Diana,183,t-11113588_183,0,1039.37,0.0701,2.8807,BULLFROG,1
4256,Spectrogram 1,1,20230523_000000.WAV,13062,13065,0,15000,t-11113588,American Bullfrog,0.1061,20230523_000000.BirdNET.selection.table.txt,BD-31209B,1,20230523_000000.WAV1306213065BD-31209B,Diana,Amy,184,t-11113588_184,18.4,2293.1,0.1049,2.7813,BULLFROG,1
3279,Spectrogram 1,1,20230521_000000.WAV,15123,15126,0,15000,t-11113588,American Bullfrog,0.1151,20230521_000000.BirdNET.selection.table.txt,BD-31209B,1,20230521_000000.WAV1512315126BD-31209B,Ethan,Diana,185,t-11113588_185,0,1497,0.0668,2.9049,BULLFROG,1
1348,Spectrogram 1,1,20230522_000000.WAV,11898,11901,0,15000,t-11113588,American Bullfrog,0.1535,20230522_000000.BirdNET.selection.table.txt,BD-31209B,1,20230522_000000.WAV1189811901BD-31209B,Amy,Ethan,186,t-11113588_186,0,1814.8,0.0143,2.9653,BULLFROG,1
