Selection,View,Channel,Begin.File,Begin.Time..s.,End Time (s),Low Freq (Hz)_x,High Freq (Hz)_x,Species.Code,Common.Name,Confidence,birdnetfile,site,bins,date,time,reviewer_1,reviewer_2,ID,sample_id,Low Freq (Hz)_y,High Freq (Hz)_y,File Offset (s),Delta Time (s),Annotation,label,segment_id,clip_id
2381,Spectrogram 1,1,20230528_200000.WAV,13290,13293,0,15000,t-11031961,Coyote,0.1163,20230528_200000.BirdNET.selection.table.txt,BD-29263B,1,5/28/23,20:00:00,Diana,Amy,10,t-11031961_10_9sec,,,,,,0,1,a
430,Spectrogram 1,1,20230525_000000.WAV,5013,5016,0,15000,t-11031961,Coyote,0.1619,20230525_000000.BirdNET.selection.table.txt,BD-32437A,1,5/25/23,00:00:00,Rohit,Camille,110,t-11031961_110_9sec,,,,,,0,1,a
692,Spectrogram 1,1,20230527_000000.WAV,6969,6972,0,15000,t-11031961,Coyote,0.1209,20230527_000000.BirdNET.selection.table.txt,BD-32437A,1,5/27/23,00:00:00,Camille,Amy,111,t-11031961_111_9sec,,,,,,0,1,a
5733,Spectrogram 1,1,20230521_000000.WAV,31827,31830,0,15000,t-11031961,Coyote,0.1439,20230521_000000.BirdNET.selection.table.txt,BD-32566A,1,5/21/23,00:00:00,Diana,Ethan,112,t-11031961_112_9sec,,,,,,0,1,a
871,Spectrogram 1,1,20230521_200000.WAV,5163,5166,0,15000,t-11031961,Coyote,0.1479,20230521_200000.BirdNET.selection.table.txt,BD-32566A,1,5/21/23,20:00:00,Ethan,Ann,113,t-11031961_113_9sec,,,,,,0,1,a
745,Spectrogram 1,1,20230524_000000.WAV,3834,3837,0,15000,t-11031961,Coyote,0.3752,20230524_000000.BirdNET.selection.table.txt,BD-32566A,2,5/24/23,00:00:00,Amy,Ethan,114,t-11031961_114_9sec,,,,,,0,1,a
1376,Spectrogram 1,1,20230526_000000.WAV,9225,9228,0,15000,t-11031961,Coyote,0.1947,20230526_000000.BirdNET.selection.table.txt,BD-32652A,1,5/26/23,00:00:00,Ann,Camille,115,t-11031961_115_9sec,,,,,,0,1,a
133,Spectrogram 1,1,20230526_200000.WAV,987,990,0,15000,t-11031961,Coyote,0.2708,20230526_200000.BirdNET.selection.table.txt,BD-32652A,2,5/26/23,20:00:00,Rohit,Amy,116,t-11031961_116_9sec,,,,,,0,1,a
636,Spectrogram 1,1,20230526_200000.WAV,5631,5634,0,15000,t-11031961,Coyote,0.1991,20230526_200000.BirdNET.selection.table.txt,BD-32652A,1,5/26/23,20:00:00,Camille,Rohit,117,t-11031961_117_9sec,,,,,,0,1,a
163,Spectrogram 1,1,20230527_200000.WAV,798,801,0,15000,t-11031961,Coyote,0.1008,20230527_200000.BirdNET.selection.table.txt,BD-32652A,1,5/27/23,20:00:00,Diana,Rohit,118,t-11031961_118_9sec,,,,,,0,1,a
1413,Spectrogram 1,1,20230527_200000.WAV,12261,12264,0,15000,t-11031961,Coyote,0.1361,20230527_200000.BirdNET.selection.table.txt,BD-32652A,1,5/27/23,20:00:00,Ethan,Diana,119,t-11031961_119_9sec,,,,,,0,1,a
2623,Spectrogram 1,1,20230520_000000.WAV,11439,11442,0,15000,t-11031961,Coyote,0.1131,20230520_000000.BirdNET.selection.table.txt,BD-29267A,1,5/20/23,00:00:00,Ethan,Ann,11,t-11031961_11_9sec,,,,,,0,1,a
203,Spectrogram 1,1,20230528_200000.WAV,1677,1680,0,15000,t-11031961,Coyote,0.1575,20230528_200000.BirdNET.selection.table.txt,BD-32652A,1,5/28/23,20:00:00,Amy,Camille,120,t-11031961_120_9sec,,,,,,0,1,a
1529,Spectrogram 1,1,20230528_200000.WAV,13401,13404,0,15000,t-11031961,Coyote,0.1421,20230528_200000.BirdNET.selection.table.txt,BD-32652A,1,5/28/23,20:00:00,Ann,Ethan,121,t-11031961_121_9sec,,,,,,0,1,a
2811,Spectrogram 1,1,20230523_200000.WAV,11499,11502,0,15000,t-11031961,Coyote,0.8985,20230523_200000.BirdNET.selection.table.txt,BD-29050B,5,5/23/23,20:00:00,Ann,Diana,122,t-11031961_122_9sec,217.8,3069.3,0.0,3.0,COYOTE,1,1,a
2811,Spectrogram 1,1,20230523_200000.WAV,11499,11502,0,15000,t-11031961,Coyote,0.8985,20230523_200000.BirdNET.selection.table.txt,BD-29050B,5,5/23/23,20:00:00,Ann,Diana,122,t-11031961_122_9sec,217.8,3069.3,3.0,3.0,COYOTE,1,1,b
2811,Spectrogram 1,1,20230523_200000.WAV,11499,11502,0,15000,t-11031961,Coyote,0.8985,20230523_200000.BirdNET.selection.table.txt,BD-29050B,5,5/23/23,20:00:00,Ann,Diana,122,t-11031961_122_9sec,217.8,3069.3,6.0,2.9595000000000002,COYOTE,1,1,c
645,Spectrogram 1,1,20230522_200000.WAV,5391,5394,0,15000,t-11031961,Coyote,0.6203,20230522_200000.BirdNET.selection.table.txt,BD-29050B,4,5/22/23,20:00:00,Rohit,Diana,123,t-11031961_123_9sec,242.8,1976.9,3.6843,1.7263,COYOTE,1,1,a
825,Spectrogram 1,1,20230523_200000.WAV,3585,3588,0,15000,t-11031961,Coyote,0.5252,20230523_200000.BirdNET.selection.table.txt,BD-29050B,3,5/23/23,20:00:00,Camille,Rohit,124,t-11031961_124_9sec,,,,,,0,1,a
390,Spectrogram 1,1,20230520_200000.WAV,3633,3636,0,15000,t-11031961,Coyote,0.5961,20230520_200000.BirdNET.selection.table.txt,BD-29050B,3,5/20/23,20:00:00,Diana,Rohit,125,t-11031961_125_9sec,251.2,1730.2,0.3036,3.0,COYOTE,1,1,a
390,Spectrogram 1,1,20230520_200000.WAV,3633,3636,0,15000,t-11031961,Coyote,0.5961,20230520_200000.BirdNET.selection.table.txt,BD-29050B,3,5/20/23,20:00:00,Diana,Rohit,125,t-11031961_125_9sec,251.2,1730.2,3.3036,3.0,COYOTE,1,1,b
390,Spectrogram 1,1,20230520_200000.WAV,3633,3636,0,15000,t-11031961,Coyote,0.5961,20230520_200000.BirdNET.selection.table.txt,BD-29050B,3,5/20/23,20:00:00,Diana,Rohit,125,t-11031961_125_9sec,251.2,1730.2,6.3036,2.577400000000001,COYOTE,1,1,c
981,Spectrogram 1,1,20230520_200000.WAV,10374,10377,0,15000,t-11031961,Coyote,0.5274,20230520_200000.BirdNET.selection.table.txt,BD-29050B,3,5/20/23,20:00:00,Ethan,Camille,126,t-11031961_126_9sec,158.7,1626.4,4.8666,2.3312,COYOTE,1,1,a
981,Spectrogram 1,1,20230520_200000.WAV,10374,10377,0,15000,t-11031961,Coyote,0.5274,20230520_200000.BirdNET.selection.table.txt,BD-29050B,3,5/20/23,20:00:00,Ethan,Camille,126,t-11031961_126_9sec,297.5,2380.2,8.8994,3.0,COYOTE,1,2,a
981,Spectrogram 1,1,20230520_200000.WAV,10374,10377,0,15000,t-11031961,Coyote,0.5274,20230520_200000.BirdNET.selection.table.txt,BD-29050B,3,5/20/23,20:00:00,Ethan,Camille,126,t-11031961_126_9sec,297.5,2380.2,11.8994,2.2104999999999997,COYOTE,1,2,b
2824,Spectrogram 1,1,20230523_200000.WAV,11526,11529,0,15000,t-11031961,Coyote,0.6831,20230523_200000.BirdNET.selection.table.txt,BD-29050B,4,5/23/23,20:00:00,Amy,Ethan,127,t-11031961_127_9sec,1615.3,1615.3,2.0679,0.0,REMOVE,-1,1,a
2820,Spectrogram 1,1,20230523_200000.WAV,11508,11511,0,15000,t-11031961,Coyote,0.7947,20230523_200000.BirdNET.selection.table.txt,BD-29050B,4,5/23/23,20:00:00,Ann,Ethan,128,t-11031961_128_9sec,289.4,2720.3,0.0343,3.0,COYOTE,1,1,a
2820,Spectrogram 1,1,20230523_200000.WAV,11508,11511,0,15000,t-11031961,Coyote,0.7947,20230523_200000.BirdNET.selection.table.txt,BD-29050B,4,5/23/23,20:00:00,Ann,Ethan,128,t-11031961_128_9sec,289.4,2720.3,3.0343,3.0,COYOTE,1,1,b
2820,Spectrogram 1,1,20230523_200000.WAV,11508,11511,0,15000,t-11031961,Coyote,0.7947,20230523_200000.BirdNET.selection.table.txt,BD-29050B,4,5/23/23,20:00:00,Ann,Ethan,128,t-11031961_128_9sec,289.4,2720.3,6.0343,2.9482999999999997,COYOTE,1,1,c
4652,Spectrogram 1,1,20230521_000000.WAV,27765,27768,0,15000,t-11031961,Coyote,0.527,20230521_000000.BirdNET.selection.table.txt,BD-29050B,3,5/21/23,00:00:00,Rohit,Ann,129,t-11031961_129_9sec,,,,,,0,1,a
423,Spectrogram 1,1,20230521_000000.WAV,2742,2745,0,15000,t-11031961,Coyote,0.8004,20230521_000000.BirdNET.selection.table.txt,BD-29267A,5,5/21/23,00:00:00,Amy,Diana,12,t-11031961_12_9sec,272.5,2257.6,0.0008,3.0,COYOTE,1,1,a
423,Spectrogram 1,1,20230521_000000.WAV,2742,2745,0,15000,t-11031961,Coyote,0.8004,20230521_000000.BirdNET.selection.table.txt,BD-29267A,5,5/21/23,00:00:00,Amy,Diana,12,t-11031961_12_9sec,272.5,2257.6,3.0008,3.0,COYOTE,1,1,b
423,Spectrogram 1,1,20230521_000000.WAV,2742,2745,0,15000,t-11031961,Coyote,0.8004,20230521_000000.BirdNET.selection.table.txt,BD-29267A,5,5/21/23,00:00:00,Amy,Diana,12,t-11031961_12_9sec,272.5,2257.6,6.0008,2.6251999999999995,COYOTE,1,1,c
470,Spectrogram 1,1,20230525_200000.WAV,7110,7113,0,15000,t-11031961,Coyote,0.768,20230525_200000.BirdNET.selection.table.txt,BD-29263A,4,5/25/23,20:00:00,Camille,Rohit,130,t-11031961_130_9sec,310.1,2325.6,3.2205,3.0,COYOTE,1,1,a
470,Spectrogram 1,1,20230525_200000.WAV,7110,7113,0,15000,t-11031961,Coyote,0.768,20230525_200000.BirdNET.selection.table.txt,BD-29263A,4,5/25/23,20:00:00,Camille,Rohit,130,t-11031961_130_9sec,310.1,2325.6,6.2204999999999995,0.06519999999999992,COYOTE,1,1,b
470,Spectrogram 1,1,20230525_200000.WAV,7110,7113,0,15000,t-11031961,Coyote,0.768,20230525_200000.BirdNET.selection.table.txt,BD-29263A,4,5/25/23,20:00:00,Camille,Rohit,130,t-11031961_130_9sec,297.2,2080.5,8.4001,0.554,COYOTE,1,2,a
482,Spectrogram 1,1,20230525_200000.WAV,7125,7128,0,15000,t-11031961,Coyote,0.978,20230525_200000.BirdNET.selection.table.txt,BD-29263A,5,5/25/23,20:00:00,Ethan,Amy,132,t-11031961_132_9sec,42.0,2562.4,0.0719,3.0,COYOTE,1,1,a
482,Spectrogram 1,1,20230525_200000.WAV,7125,7128,0,15000,t-11031961,Coyote,0.978,20230525_200000.BirdNET.selection.table.txt,BD-29263A,5,5/25/23,20:00:00,Ethan,Amy,132,t-11031961_132_9sec,42.0,2562.4,3.0719,1.9989999999999997,COYOTE,1,1,b
482,Spectrogram 1,1,20230525_200000.WAV,7125,7128,0,15000,t-11031961,Coyote,0.978,20230525_200000.BirdNET.selection.table.txt,BD-29263A,5,5/25/23,20:00:00,Ethan,Amy,132,t-11031961_132_9sec,168.0,2436.4,7.9121,1.0609,COYOTE,1,2,a
1016,Spectrogram 1,1,20230526_200000.WAV,13437,13440,0,15000,t-11031961,Coyote,0.7625,20230526_200000.BirdNET.selection.table.txt,BD-29263A,4,5/26/23,20:00:00,Amy,Camille,133,t-11031961_133_9sec,1265.0,1265.0,3.4902,0.0,REMOVE,-1,1,a
380,Spectrogram 1,1,20230525_200000.WAV,5901,5904,0,15000,t-11031961,Coyote,0.9433,20230525_200000.BirdNET.selection.table.txt,BD-29263A,5,5/25/23,20:00:00,Ann,Diana,134,t-11031961_134_9sec,275.4,2478.7,3.3682,1.7241,COYOTE,1,1,a
380,Spectrogram 1,1,20230525_200000.WAV,5901,5904,0,15000,t-11031961,Coyote,0.9433,20230525_200000.BirdNET.selection.table.txt,BD-29263A,5,5/25/23,20:00:00,Ann,Diana,134,t-11031961_134_9sec,196.7,2872.1,5.9119,3.0,COYOTE,1,2,a
380,Spectrogram 1,1,20230525_200000.WAV,5901,5904,0,15000,t-11031961,Coyote,0.9433,20230525_200000.BirdNET.selection.table.txt,BD-29263A,5,5/25/23,20:00:00,Ann,Diana,134,t-11031961_134_9sec,196.7,2872.1,8.9119,0.06660000000000021,COYOTE,1,2,b
486,Spectrogram 1,1,20230525_200000.WAV,7128,7131,0,15000,t-11031961,Coyote,0.8246,20230525_200000.BirdNET.selection.table.txt,BD-29263A,5,5/25/23,20:00:00,Rohit,Ann,135,t-11031961_135_9sec,173.4,2011.6,0.0191,2.2118,COYOTE,1,1,a
486,Spectrogram 1,1,20230525_200000.WAV,7128,7131,0,15000,t-11031961,Coyote,0.8246,20230525_200000.BirdNET.selection.table.txt,BD-29263A,5,5/25/23,20:00:00,Rohit,Ann,135,t-11031961_135_9sec,217.8,2633.7,4.8479,3.0,COYOTE,1,2,a
486,Spectrogram 1,1,20230525_200000.WAV,7128,7131,0,15000,t-11031961,Coyote,0.8246,20230525_200000.BirdNET.selection.table.txt,BD-29263A,5,5/25/23,20:00:00,Rohit,Ann,135,t-11031961_135_9sec,217.8,2633.7,7.8479,0.07129999999999992,COYOTE,1,2,b
390,Spectrogram 1,1,20230525_200000.WAV,5919,5922,0,15000,t-11031961,Coyote,0.9599,20230525_200000.BirdNET.selection.table.txt,BD-29263A,5,5/25/23,20:00:00,Camille,Ethan,136,t-11031961_136_9sec,347.3,1466.2,0.0039,2.8715,COYOTE,1,1,a
390,Spectrogram 1,1,20230525_200000.WAV,5919,5922,0,15000,t-11031961,Coyote,0.9599,20230525_200000.BirdNET.selection.table.txt,BD-29263A,5,5/25/23,20:00:00,Camille,Ethan,136,t-11031961_136_9sec,279.1,3131.8,4.0985,3.0,COYOTE,1,2,a
390,Spectrogram 1,1,20230525_200000.WAV,5919,5922,0,15000,t-11031961,Coyote,0.9599,20230525_200000.BirdNET.selection.table.txt,BD-29263A,5,5/25/23,20:00:00,Camille,Ethan,136,t-11031961_136_9sec,279.1,3131.8,7.0985,1.8587999999999996,COYOTE,1,2,b
448,Spectrogram 1,1,20230526_200000.WAV,8475,8478,0,15000,t-11031961,Coyote,0.8215,20230526_200000.BirdNET.selection.table.txt,BD-29263A,5,5/26/23,20:00:00,Diana,Ann,137,t-11031961_137_9sec,178.2,2554.5,4.191,1.9313,COYOTE,1,1,a
494,Spectrogram 1,1,20230523_000000.WAV,9672,9675,0,15000,t-11031961,Coyote,0.6985,20230523_000000.BirdNET.selection.table.txt,BD-29263A,4,5/23/23,00:00:00,Ethan,Ann,138,t-11031961_138_9sec,198.3,2981.5,0.1342,3.0,COYOTE,1,1,a
494,Spectrogram 1,1,20230523_000000.WAV,9672,9675,0,15000,t-11031961,Coyote,0.6985,20230523_000000.BirdNET.selection.table.txt,BD-29263A,4,5/23/23,00:00:00,Ethan,Ann,138,t-11031961_138_9sec,198.3,2981.5,3.1342,3.0,COYOTE,1,1,b
494,Spectrogram 1,1,20230523_000000.WAV,9672,9675,0,15000,t-11031961,Coyote,0.6985,20230523_000000.BirdNET.selection.table.txt,BD-29263A,4,5/23/23,00:00:00,Ethan,Ann,138,t-11031961_138_9sec,198.3,2981.5,6.1342,3.0,COYOTE,1,1,c
494,Spectrogram 1,1,20230523_000000.WAV,9672,9675,0,15000,t-11031961,Coyote,0.6985,20230523_000000.BirdNET.selection.table.txt,BD-29263A,4,5/23/23,00:00:00,Ethan,Ann,138,t-11031961_138_9sec,198.3,2981.5,9.1342,3.0,COYOTE,1,1,d
494,Spectrogram 1,1,20230523_000000.WAV,9672,9675,0,15000,t-11031961,Coyote,0.6985,20230523_000000.BirdNET.selection.table.txt,BD-29263A,4,5/23/23,00:00:00,Ethan,Ann,138,t-11031961_138_9sec,198.3,2981.5,12.1342,3.0,COYOTE,1,1,e
494,Spectrogram 1,1,20230523_000000.WAV,9672,9675,0,15000,t-11031961,Coyote,0.6985,20230523_000000.BirdNET.selection.table.txt,BD-29263A,4,5/23/23,00:00:00,Ethan,Ann,138,t-11031961_138_9sec,198.3,2981.5,15.1342,2.4513,COYOTE,1,1,f
845,Spectrogram 1,1,20230523_200000.WAV,13446,13449,0,15000,t-11031961,Coyote,0.6228,20230523_200000.BirdNET.selection.table.txt,BD-29263A,4,5/23/23,20:00:00,Amy,Ethan,139,t-11031961_139_9sec,992.5,992.5,4.2929,0.0,REMOVE,-1,1,a
1236,Spectrogram 1,1,20230521_000000.WAV,11358,11361,0,15000,t-11031961,Coyote,0.2976,20230521_000000.BirdNET.selection.table.txt,BD-29267A,2,5/21/23,00:00:00,Ann,Camille,13,t-11031961_13_9sec,1323.4,1323.4,4.7161,0.0,REMOVE,-1,1,a
392,Spectrogram 1,1,20230525_200000.WAV,5922,5925,0,15000,t-11031961,Coyote,0.9944,20230525_200000.BirdNET.selection.table.txt,BD-29263A,5,5/25/23,20:00:00,Ann,Diana,140,t-11031961_140_9sec,117.6,3254.9,1.0032,2.7039,COYOTE,1,1,a
392,Spectrogram 1,1,20230525_200000.WAV,5922,5925,0,15000,t-11031961,Coyote,0.9944,20230525_200000.BirdNET.selection.table.txt,BD-29263A,5,5/25/23,20:00:00,Ann,Diana,140,t-11031961_140_9sec,117.6,3058.8,4.668,3.0,COYOTE,1,2,a
392,Spectrogram 1,1,20230525_200000.WAV,5922,5925,0,15000,t-11031961,Coyote,0.9944,20230525_200000.BirdNET.selection.table.txt,BD-29263A,5,5/25/23,20:00:00,Ann,Diana,140,t-11031961_140_9sec,117.6,3058.8,7.668,1.3243,COYOTE,1,2,b
371,Spectrogram 1,1,20230523_000000.WAV,7479,7482,0,15000,t-11031961,Coyote,0.6653,20230523_000000.BirdNET.selection.table.txt,BD-29263A,4,5/23/23,00:00:00,Rohit,Camille,141,t-11031961_141_9sec,,,,,,0,1,a
1011,Spectrogram 1,1,20230526_200000.WAV,13419,13422,0,15000,t-11031961,Coyote,0.5822,20230526_200000.BirdNET.selection.table.txt,BD-29263A,3,5/26/23,20:00:00,Camille,Rohit,142,t-11031961_142_9sec,124.0,2201.6,0.0229,1.7984,COYOTE,1,1,a
1011,Spectrogram 1,1,20230526_200000.WAV,13419,13422,0,15000,t-11031961,Coyote,0.5822,20230526_200000.BirdNET.selection.table.txt,BD-29263A,3,5/26/23,20:00:00,Camille,Rohit,142,t-11031961_142_9sec,1381.8,1381.8,4.6754,0.0,REMOVE,-1,2,a
294,Spectrogram 1,1,20230526_000000.WAV,4710,4713,0,15000,t-11031961,Coyote,0.7019,20230526_000000.BirdNET.selection.table.txt,BD-29263A,4,5/26/23,00:00:00,Diana,Ann,143,t-11031961_143_9sec,291.9,1848.9,3.4757,1.8846,COYOTE,1,1,a
1259,Spectrogram 1,1,20230527_000000.WAV,18663,18666,0,15000,t-11031961,Coyote,0.6505,20230527_000000.BirdNET.selection.table.txt,BD-29263A,4,5/27/23,00:00:00,Ethan,Camille,144,t-11031961_144_9sec,,,,,,0,1,a
394,Spectrogram 1,1,20230525_200000.WAV,5925,5928,0,15000,t-11031961,Coyote,0.9009,20230525_200000.BirdNET.selection.table.txt,BD-29263A,5,5/25/23,20:00:00,Amy,Diana,145,t-11031961_145_9sec,349.2,2688.8,0.0223,0.5851,COYOTE,1,1,a
394,Spectrogram 1,1,20230525_200000.WAV,5925,5928,0,15000,t-11031961,Coyote,0.9009,20230525_200000.BirdNET.selection.table.txt,BD-29263A,5,5/25/23,20:00:00,Amy,Diana,145,t-11031961_145_9sec,116.8,2919.2,1.6622,3.0,COYOTE,1,2,a
394,Spectrogram 1,1,20230525_200000.WAV,5925,5928,0,15000,t-11031961,Coyote,0.9009,20230525_200000.BirdNET.selection.table.txt,BD-29263A,5,5/25/23,20:00:00,Amy,Diana,145,t-11031961_145_9sec,116.8,2919.2,4.6622,3.0,COYOTE,1,2,b
394,Spectrogram 1,1,20230525_200000.WAV,5925,5928,0,15000,t-11031961,Coyote,0.9009,20230525_200000.BirdNET.selection.table.txt,BD-29263A,5,5/25/23,20:00:00,Amy,Diana,145,t-11031961_145_9sec,116.8,2919.2,7.6622,0.5336999999999996,COYOTE,1,2,c
342,Spectrogram 1,1,20230522_000000.WAV,10368,10371,0,15000,t-11031961,Coyote,0.5378,20230522_000000.BirdNET.selection.table.txt,BD-29263B,3,5/22/23,00:00:00,Ann,Rohit,146,t-11031961_146_9sec,215.7,2549.0,0.0478,3.0,COYOTE,1,1,a
342,Spectrogram 1,1,20230522_000000.WAV,10368,10371,0,15000,t-11031961,Coyote,0.5378,20230522_000000.BirdNET.selection.table.txt,BD-29263B,3,5/22/23,00:00:00,Ann,Rohit,146,t-11031961_146_9sec,215.7,2549.0,3.0478,1.1916000000000002,COYOTE,1,1,b
342,Spectrogram 1,1,20230522_000000.WAV,10368,10371,0,15000,t-11031961,Coyote,0.5378,20230522_000000.BirdNET.selection.table.txt,BD-29263B,3,5/22/23,00:00:00,Ann,Rohit,146,t-11031961_146_9sec,74.3,2303.4,4.5662,3.0,COYOTE,1,2,a
342,Spectrogram 1,1,20230522_000000.WAV,10368,10371,0,15000,t-11031961,Coyote,0.5378,20230522_000000.BirdNET.selection.table.txt,BD-29263B,3,5/22/23,00:00:00,Ann,Rohit,146,t-11031961_146_9sec,74.3,2303.4,7.5662,1.4055999999999997,COYOTE,1,2,b
213,Spectrogram 1,1,20230527_000000.WAV,6363,6366,0,15000,t-11031961,Coyote,0.9304,20230527_000000.BirdNET.selection.table.txt,BD-29263B,5,5/27/23,00:00:00,Rohit,Diana,147,t-11031961_147_9sec,233.5,2257.6,0.2344,3.0,COYOTE,1,1,a
213,Spectrogram 1,1,20230527_000000.WAV,6363,6366,0,15000,t-11031961,Coyote,0.9304,20230527_000000.BirdNET.selection.table.txt,BD-29263B,5,5/27/23,00:00:00,Rohit,Diana,147,t-11031961_147_9sec,233.5,2257.6,3.2344,3.0,COYOTE,1,1,b
213,Spectrogram 1,1,20230527_000000.WAV,6363,6366,0,15000,t-11031961,Coyote,0.9304,20230527_000000.BirdNET.selection.table.txt,BD-29263B,5,5/27/23,00:00:00,Rohit,Diana,147,t-11031961_147_9sec,233.5,2257.6,6.2344,2.638,COYOTE,1,1,c
1567,Spectrogram 1,1,20230526_000000.WAV,14322,14325,0,15000,t-11031961,Coyote,0.5559,20230526_000000.BirdNET.selection.table.txt,BD-29263B,3,5/26/23,00:00:00,Camille,Amy,148,t-11031961_148_9sec,,,,,,0,1,a
1799,Spectrogram 1,1,20230527_000000.WAV,14367,14370,0,15000,t-11031961,Coyote,0.5643,20230527_000000.BirdNET.selection.table.txt,BD-29267A,3,5/27/23,00:00:00,Diana,Ethan,149,t-11031961_149_9sec,0.0,3503.1,1.0213,3.0,COYOTE,1,1,a
1799,Spectrogram 1,1,20230527_000000.WAV,14367,14370,0,15000,t-11031961,Coyote,0.5643,20230527_000000.BirdNET.selection.table.txt,BD-29267A,3,5/27/23,00:00:00,Diana,Ethan,149,t-11031961_149_9sec,0.0,3503.1,4.0213,3.0,COYOTE,1,1,b
1799,Spectrogram 1,1,20230527_000000.WAV,14367,14370,0,15000,t-11031961,Coyote,0.5643,20230527_000000.BirdNET.selection.table.txt,BD-29267A,3,5/27/23,00:00:00,Diana,Ethan,149,t-11031961_149_9sec,0.0,3503.1,7.0213,1.8526999999999996,COYOTE,1,1,c
150,Spectrogram 1,1,20230521_200000.WAV,1104,1107,0,15000,t-11031961,Coyote,0.1814,20230521_200000.BirdNET.selection.table.txt,BD-29267A,1,5/21/23,20:00:00,Rohit,Ethan,14,t-11031961_14_9sec,,,,,,0,1,a
1850,Spectrogram 1,1,20230524_000000.WAV,9225,9228,0,15000,t-11031961,Coyote,0.5422,20230524_000000.BirdNET.selection.table.txt,BD-29267A,3,5/24/23,00:00:00,Ethan,Rohit,150,t-11031961_150_9sec,,,,,,0,1,a
2802,Spectrogram 1,1,20230525_200000.WAV,13611,13614,0,15000,t-11031961,Coyote,0.9943,20230525_200000.BirdNET.selection.table.txt,BD-29267A,5,5/25/23,20:00:00,Amy,Ethan,151,t-11031961_151_9sec,173.6,3607.7,0.0375,3.0,COYOTE,1,1,a
2802,Spectrogram 1,1,20230525_200000.WAV,13611,13614,0,15000,t-11031961,Coyote,0.9943,20230525_200000.BirdNET.selection.table.txt,BD-29267A,5,5/25/23,20:00:00,Amy,Ethan,151,t-11031961_151_9sec,173.6,3607.7,3.0375,3.0,COYOTE,1,1,b
2802,Spectrogram 1,1,20230525_200000.WAV,13611,13614,0,15000,t-11031961,Coyote,0.9943,20230525_200000.BirdNET.selection.table.txt,BD-29267A,5,5/25/23,20:00:00,Amy,Ethan,151,t-11031961_151_9sec,173.6,3607.7,6.0375,2.9749999999999996,COYOTE,1,1,c
2774,Spectrogram 1,1,20230525_200000.WAV,13536,13539,0,15000,t-11031961,Coyote,0.9714,20230525_200000.BirdNET.selection.table.txt,BD-29267A,5,5/25/23,20:00:00,Ann,Rohit,152,t-11031961_152_9sec,137.3,3431.4,4.7687,2.2375,COYOTE,1,1,a
